path,count,mean,std,min,p05,p25,p50,p75,p95,max
hotspots\hotspot_temporal_2015_zgt1p5.tif,156437,0.003630854655057192,0.060147080570459366,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2016_zgt1p0.tif,156437,0.0029532655607908964,0.0542636476457119,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2016_zgt1p5.tif,156437,0.0003068327787332237,0.017513956874608994,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2017_zgt1p0.tif,156437,0.27536964416503906,0.4467003643512726,0.0,0.0,0.0,0.0,1.0,1.0,1.0
hotspots\hotspot_temporal_2017_zgt1p5.tif,156437,0.09658201038837433,0.29538774490356445,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_temporal_2018_zgt1p0.tif,156437,0.5246968269348145,0.4993896782398224,0.0,0.0,0.0,1.0,1.0,1.0,1.0
hotspots\hotspot_temporal_2018_zgt1p5.tif,156437,0.28786027431488037,0.45276567339897156,0.0,0.0,0.0,0.0,1.0,1.0,1.0
hotspots\hotspot_temporal_2019_zgt1p0.tif,156428,0.002876722952350974,0.05355788767337799,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2019_zgt1p5.tif,156428,0.00023013782629277557,0.015168549492955208,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2020_zgt1p0.tif,156336,0.011929433792829514,0.10856851935386658,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2020_zgt1p5.tif,156336,0.0012537100119516253,0.03538556024432182,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2021_zgt1p0.tif,156433,0.5174611210823059,0.4996950030326843,0.0,0.0,0.0,1.0,1.0,1.0,1.0
hotspots\hotspot_temporal_2021_zgt1p5.tif,156433,0.20446452498435974,0.40330976247787476,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_temporal_2022_zgt1p0.tif,156437,0.3439275920391083,0.475017249584198,0.0,0.0,0.0,0.0,1.0,1.0,1.0
hotspots\hotspot_temporal_2022_zgt1p5.tif,156437,0.08175814896821976,0.27399590611457825,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_temporal_2023_zgt1p0.tif,156434,0.09760026633739471,0.29677340388298035,0.0,0.0,0.0,0.0,0.0,1.0,1.0
hotspots\hotspot_temporal_2023_zgt1p5.tif,156434,0.019215771928429604,0.13728263974189758,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2024_zgt1p0.tif,156437,0.017495861276984215,0.13110971450805664,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2024_zgt1p5.tif,156437,0.0010419529862701893,0.03226247429847717,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2025_zgt1p0.tif,156437,0.022993281483650208,0.14988191425800323,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2025_zgt1p5.tif,156437,0.0024994087871164083,0.04993157088756561,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hotspots\hotspot_temporal_2026_zgt1p0.tif,156437,0.07091672718524933,0.25668570399284363,0.0,0.0,0.0,0.0,0.0,1.0,1.0
